lid,date,comments,rid
20869092,2018-02-11,"Xin User Profile	<br/>Xin<br/>February 2018<br/><br/>Very nice experience! The room is spacious with daily light, the swimming pool is nice! We had health problems and owner arranged tuk tuk to take us to hospital. Quick and helpful answers from owner! Even we have already checked out, they allow us to put our luggage in their reception. I hope I will come back and stay there again!!!",25
20869092,2018-02-20,Great flat! Very comfortable and easy to get to.,26
20869092,2018-02-25,Very close to the BTS train and clean appartement,27
20869092,2018-03-06,"Extremely cool and modern room in a new building. We loved the flat and the pool which was clean and had a great view. A five star on everything from us, would definitely recommend it. Location is also fine, in a walking distance from BTS. Staff was very friendly and polite. There is always a tuk-tuk free of charge to drive you the few hundred meters to the BTS or the local market.",28
20869092,2018-03-24,"Great stay, was already my 2nd time stay at the place",29
20869092,2018-03-26,Perfect accommodation for few days in Bangkok. We could't ask for anything better than this.,30
20869092,2018-03-29,Location is a bit far from major touristy areas and temples but accessible with public transportation. Room is very clean! Enjoyed our stay here!,31
20869092,2018-04-06,Great place to stay for a introduction to bangkok/Thailand. Very close to BTS train station and accesible by taxis. Highly recommend for cliamitising by the beautiful pool.,32
20869092,2018-04-09,"It's really a great experience, and the environment is great! There is a feeling of home, the transportation is convenient and the evening is very quiet, will meeting relive.",33
20869092,2018-04-12,Great place to stay in Bangkok! Comfy and relaxing place from the bustling busy street of Bangkok. Highly recommended for all as they have tuktuk service to and from the residence and the BTS.,34
20869092,2018-04-18,We really loved the pool and the massage studio downstairs as well as the tuck tuck service to the Metro! Thank you!,35
20869092,2018-04-23,loved the local market next to the airbnb.,36
20869092,2018-04-30,"Suchada's place was nice and close to the BTS station, sanam pao, which is on stop away from victory monuement and Ari. Ari has an array of dessert cafes to visit so I highly recommend. The massage parlor downstairs is awesome and has great service. I checked in at 4am due to flight delay and immigration, but check in was smooth and I appreciate it. Suchada's team is wonderful and went out of the way to try to help me get ahold of my lost cellphone. They also help you arrange for taxi rides to the airport which is convenient. Would stay again...there's a washer! :)",37
20869092,2018-05-12,"Nice apartment, pretty stylish and clean. Looks more like a small hotel. Location is ok: quiet, but you can walk to food areas and BTS station. Plus: bananas as a compliment, several bottles of water, instant noodles.",38
20869092,2018-05-16,This was a great spot to catch up on some much needed relaxation during our backpacking trip! There is a pool on the 5th floor with an amazing city view and a spa down below the apartment.<br/><br/>We ordered food from the delivery menu but it was nothing special- probably would suggest going to a restaurant or getting some street food.,39
20869092,2018-05-18,"Centrally located; close to BTS and various shops, etc. Apartment was clean and quiet - -only apartment on said floor; same floor as gym and pool. It was convenient to be across from the Club House, for questions and access to the BTS transport service, etc. Responsive and helpful when we were unsure of how to use the Aircon.",40
20869092,2018-05-29,Great stay,41
20869092,2018-06-05,Very easy for check in and the house very good place to live there,42
20869092,2018-06-10,Great room. Great host. Great location. Would definitely recommend!,43
20869092,2018-06-15,"We were actually quite surprised with how nice this place was. We really did get our money's worth. <br/>Liked:<br/>> Room was very stylish and has a minimalist feel. It was also very clean and had a complete set of toiletries and towels. <br/>> It is conveniently located near the BTS Station. They also provide a free Tuktuk service to the BTS station if you don't want to walk :) (it is only less than 5 minutes walk) and a nearby mall and marketplace.<br/>> The host is very accommodating and quickly responds to my queries.<br/>> The pool building itself has nice amenities, we really liked the pool area.<br/>> The room has its own washing machine. For the dryer, you would need to use the one in the patio which is shared by all of the residents/tenants. <br/>> They also provided free bottles for water, lots of it! <br/><br/>Area for Improvement: Though not really a big deal, but we did wish that they provided bedroom slippers for us to use while in the room. But aside from that, we did not have any other concerns.  ",44
20869092,2018-06-22,The space is exactly as pictured and the amenities are wonderful. The staff is extremely helpful and we utilized the free tuk tuk service everyday. The downstairs massage place is great too. Wonderful time!,45
20869092,2018-07-01,"The place is more than brilliant. Despite the hard-to-find location ( (Hidden by Airbnb) map is wrong), everything was good in the place just like staying in hotel. The reception staff was nice and helpful. We could have water and bananas during our stay. Washing machine and microwave were also included. The room service - meal order was cheap. One point is the curtain is outside the bathroom instead of inside (i.e. People outside can suddenly roll up the curtain while u r showering). If you do care about this then do not reserve this place.",46
20869092,2018-07-08,"This was a great spot for us - 20 minutes from both DMK and BKK airports, and just 15-20 minutes from big tourist attractions. The hospitality of the reception service was great including thoughtful touches like the address provided in Thai to keep in my wallet for taxis, and before we left they provided a free ride to the ATM by tuktuk so and helped flag a metered taxi so we could get to the airport. The apartment felt safe and was clean - great experience!",47
20869092,2018-07-15,"Suchada's apartment is an excellent place to stay in Bangkok and I highly recommend this apartment. It's spotless and you will appreciate its cleanliness. It's not very far from Sanam Pao BTS but still, if you don't want to walk you are offered free tuk-tuk service to the BTS. Suchada is a great host and she will assist you during your stay making sure you have no concern at all. This is definitely one of the best place to stay in Bangkok close to the main centers of interest. It's good value compared to hotels and some other places.",48
20869092,2018-07-18,Super place! Everything was worry-free and fantastic! ,49
20869092,2018-07-21,Perfect stay! ,50
20869092,2018-07-23,Place was extremely clean and host very helpful to any question. The lobby was also very helpful. I loved the Tuktuk service.,51
20869092,2018-07-24,"Comfortable, very clean, and amazing staff! Just the place to stay after our flight. Great location! ",52
20869092,2018-07-28,"Excellent choice, we found this apartment easily from the directions provided, very close to Sanam Pao BTS station. The apartment is roomy, modern and like the pictures, all staff were very helpful. The apartment is very close to street food areas.<br/>I would highly recommend this apartment.",53
20869092,2018-08-20,"awesome place to stay in bangkok. the place is 3 mins walking from skytrain, 3 stops away from vegetarian foodcourt and 3 stops away from siam (which is actual city center). At night it's relatively silent, apartment is cleaned regularly and reception stuff are friendly and helpfull. Overall, exceptional value for the money",54
20869092,2018-08-25,"Suchada's condo is a perfect option to stay at Bangkok, great location and very close to the metro station for easy moving around the city. The apartment is very modern and the facilities very well mantained! Thank you for the hospitality and I would recommend his condo to everyone!",55
20869092,2018-09-07,"Suchada's place was as described and all in all, a great place to stay in Bangkok. We liked the fact that there was a guard on duty, a massage place downstairs and also a Tuk Tuk service to the nearby BTS (you could walk for about 5 mins to reach Sanam Pao BTS as well). Amenities like the gym were useful and we tried the condo's order in food once during a rainy evening - the cable TV with football channels offered a great stay-in alternative during bad weather. We would recommend this place!",56
20869092,2018-09-13,"Clean, cool, and easy to access!",57
20869092,2018-09-16,"Amazingly designed space in a cool new building, very close to everywhere I needed to be in central BKK. Would stay again! Favourite part was the massage downstairs :)",58
20869092,2018-09-18,"We had an amazing stay at Suchada's! in addition to being the cleanest and nicest apartment of our trip, we were also able to leave our bags after checking out and even take a shower before taking our flight. The apartment is super well located too if you take the skytrain.",59
20869092,2018-09-27,It was a super great living experience. Easy to check in. Friendly staff who can speak English well. Good location. The host responded the questions soon. This apartment provides very impressive service.  I would definitely choose this place when I come back to  Bangkok. I recommend this apartment to everyone!,60
20869092,2018-09-29,"This was a really exceptional property; a hidden gem of Bangkok that far exceeded my expectations. It's luxury living in a quiet, peaceful area, that is well-connected to the beating heart of the city. The amenities are top-notch (pool, sauna etc), the communication from the team was swift and helpful, and the interior decor is stylish and homely (lots of warm colours, rather than stark white). Sensational.",61
20869092,2018-10-01,"A good distance away from all the hustle and bustle of the city centre. No overcrowded train stations or tourist-packed establishments here. If you dont mind walking just a short distance everyday to and fro the BTS, this is a great place to return home to after a long day  of shopping and eating. The receptionist is very helpful too! Not to forget, they offer a pretty tasty and diverse variety of food for room service delivery as well.",62
20869092,2018-10-03,"Great location, they provide free transport to the nearest BTS station. Just 4 stops to Siam. Spacious room, feel pretty comfortable. Nice and polite staffs. Fast responding.",63
20869092,2018-10-07,"Very nice clean and stylish place, secure and quiet.<br/>The staff are very helpful and made every easy for us, and the location is great too definitely recommended.",64
20869092,2018-10-08,"Outstanding apartment that's beyond my expectation, it was just like in the pictures. Check in was quick and location is not difficult to find, but the walking from the BTS station might pose a problem to some guests with heavy baggages; can be averted by calling for their inhouse tuktuks.  The host was quick to respond and very well mannered!",65
20869092,2018-10-10,"A great place to start our Bangkok stay. Located in the great area of Ari, which feels lest touristy than other parts of Bangkok we visited. There are great street markets down the road (they'll drop you there for free) and the BTS station is near by which makes getting around the city easy. The actual accommodation was clean, comfortable (great bed) and the pool was fantastic. We'd definitely stay here again.",66
20869092,2018-10-11,Wonderful space to stay. Very clean and useful amenities (washer/stove top). Would definitely stay again!,67
20869092,2018-10-15,Highly recomend Suchada's place! I requested to check in early on my first day which she replied quickly and accomodated me to my timings even till the last day she gave some extra time as i needed pack my stuffs before checking out.,68
20869092,2018-10-15,Very nice room. If you want to be conected to airports the location is good. More a hotel with the nice pool and the small gym. They even cleaned the rooms if you stay longer. Very friendly and helpful staff.,69
20869092,2018-10-19,Great place to stay in Bangkok really near to the skytrain which is a must when staying in the city. The apartment is super stylish and clean. Swimming pool is clean and well maintained. Staff there are very helpful and the free tuktuk to the sky train is a nice touch. The reception is a two min walk to Bangkok Patio apartments (which are slightly larger apartments but owned by the same individual) Would recommend staying here.,70
20869092,2018-10-20,"Perfect apartment for me. Great bed, bathroom/shower and the whole apartment just right. Exactly as shown. Very clean and comfortable.<br/>Staff at nearby Bangkok Patio were very welcoming, helpful and friendly. Bangkok Patio also provided a tuk-tuk service to/from nearby Skytrain.<br/>Location is great - only a few minutes walk to/from Sanaam Pao BTS Skytrain station.<br/>Will definitely stay here again on my next visit to Bangkok. Thank you.",71
20869092,2018-10-22,Great service friendly people,72
20869092,2018-10-24,"Wonderful host and great place! There is a complimentary Tuktuk to and from the nearest sky train station, complimentary bottled water and a lovely pool. The space is perfect for two people and extended stays, very clean and open.",73
20869092,2018-10-24,"Great apartment with everything you may need during your stay in BKK. Checking in was very easy, communication quick. Location is perfect if you want to experience both old, traditional and newer, more luxurious side of the city.",74
20869092,2018-10-24,"We had an amazing time here! The front desk ladies were wonderful, as well as the tuk tuk drivers (a free service). The apartment is absolutely beautiful and had everything you need to have a pleasant experience.  We 11/10 recommend this place and hope to come back one day.",75
20869092,2018-10-26,"5 stars 5 stars 5 stars! We can't say enough great things about this apartment. We loved our 2 week stay. Suchada and the hosting team were so kind, quick with responses, easy place to find, great location (Sanam Pao station) and the size was also great for the two of us. We also loved the cleaning service that came every few days to spruce up the home. Very safe, kind security staff, overall the best place we could have booked for visiting a foreign city that we know nothing about. Thank you!",76
20869092,2018-10-29,"Apartment is near BTS (free tuk tuk to get there)<br/>Comfy bed<br/>Complete toiletries <br/>Friendly staff<br/>Microwave, electric stove, fridge, and cooking tools are provided as well.<br/>Definitely worth the price.",77
20869092,2018-10-29,Best homestay so far after so many times visiting Bangkok,78
20869092,2018-10-29,"Amazing choice for staying in Bangkok. Quiet, great amenities (especially the laundry and pool!), away from traffic-jammed city centers and very close to the subway system. Massage place downstairs pretty exceptional too. Communication was fast and easy. Would stay again!",79
20869092,2018-10-30,sweet stay. loved it. anyone still unsure. stop. just book the hotel now!,80
20869092,2018-10-30,"Loved the location for our Bangkok stay. The condo is located in a quiet residential area, but within 5 - 10 minutes of the Skytrain, which is convenient. This location also has access to a free tuk tuk that will bring you to the Skytrain area or to the nearby market, which is such a great amenity. Speaking of amenities, the pool is lovely and having a Thai massage place on the bottom floor is a huge bonus - we went there tonight for a two hour massage and it was wonderful. The check-in was super easy and the room was actually ready early. Suchada always was quick to respond and the space has everything you need - laundry, mini kitchen, safe (which I think is rare to include but fantastic), water/snacks, and a comfortable bed. A great stay and I would stay here again!",81
20869092,2018-11-01,Better than expected. Clean and tidy. Helpful and polite staff 24/7.,82
20869092,2018-11-01,"This is Bangkok Tryp, part of Bangkok Patio just a few hundred feet away. I adored the layout, the view, the pool, and the amenities. Getting around was easy and the reception staff were great. Very friendly and helpful all around, plus the place is easy access to public transportation. Would recommend this place and would stay here again!",83
20869092,2018-11-02,Was my second time here! This is a great space in a perfect location for don Mira great airport travelers who want to be just outside of downtown but with easy access to downtown.,84
20869092,2018-11-04,"Fantastic place. Clean, stylish, comfortable. Way better than expected - would absolutely recommend. Nice and close to the BTS for easy access to all the sights.",85
20869092,2018-11-05,"Suchada and her team are very hospitable. Check in was a breeze and a free tuk tuk service is provided from the apartment to the main road, which is close to BTS Sanam Phao. Those that are looking for a place which is easily accessible and move around from, this apartment is highly recommended. Just a couple of stations away from Chatuchak Market, and Pratunam Market, it's ideal for those that are here to shop without going through much of the Bangkok traffic.",86
20869092,2018-11-06,"Affordable, clean place to stay in Bangkok in the Victory Monument area! Relatively easy to get around, free tuk tuk to the sky train. Staff was very attentive and responsive.",87
20869092,2018-11-08,"I traveled to Thailand alone for a conference I joined. For the first few days, I stayed in a hotel where the conference was held together with my other fellow delegates. After the conference I decided to stay in Thailand for 2 more days to explore the city more. At first, I was very anxious cause I was alone but when I get to the place I was amazed how the staff were very nice and I love there was a guard upon entrance to the gate and a key card to scan upon entry to the building and to my room. I also love the quietness of the place and the interior. I was able to enjoy amenities in the apartment. The pool looks very luxurious and had a good swim. It was kinda bit cold at night though. Also, the bonus part is there is a Massage Place at the Ground  Floor. Its a must to try the Thai Massage. All in all my stay in this place exceeded my expectations the hosts really paid attention to the small details which was greatly appreciated. Would definitely go back to this place.",88
20869092,2018-11-08,Einfach nur perfekt! Das Appartement bietet alles was das Herz begehrt. Super Lage direkt an der BTS station Sanam pao. Suchada lies uns im Vorfeld eine genau weg Beschreibung zu kommen. Wir haben so schnell alles gefunden! TukTuk zur BTS ist inklusive. Alles top!,89
20869092,2018-11-08,Thip is an all star,90
20869092,2018-11-09,"The check-in was fine. You check-in at a building next door. My Grab driver tried to drop me off somewhere else, but I directed him on (Hidden by Airbnb) Maps. Bed is comfy.",91
20869092,2018-11-12,A great place to stay during our time in Bangkok. They stored our bags when we arrived early and left late and were very accommodating of everything we needed during our stay. Would highly recommend!,92
20869092,2018-11-14,"Great Place, friendly staff, great location!",93
20869092,2018-11-14,"Very nice, modern apartment, spotlessly clean and close to BTS station. Good and quick contact with the host. I also recommend visiting nearby street food venue at Soi Lue Cha (close to 7-eleven).",94
20869092,2018-11-16,Totally worth it,95
20869092,2018-11-16,"Our stay was great and the location was great too. Walking distance to BTS, easy to find on (Hidden by Airbnb) map. They also stocked the fridge with complimentary bottle water. That was nice touch.",96
20869092,2018-11-17,Really cool apartment and very good to reach from the BTS station Sanam Pao. Everything was prepared when I arrived and I could even check in early. Would totally recommend the place.,97
20869092,2018-11-19,I would definitely stay here again!,98
20869092,2018-11-20,"Suchada's place was such a joy to stay at! Super clean, comfortable bed, and seamless check-in process. The room was such great value at the price we booked and was the perfect place to recharge before our long flight home. Thanks again :-)",99
20869092,2018-11-22,"They check in luggage in case the guests are early. This allowed us to make the most of our time in Bangkok. The place is clean, spacious and well equipped. Had a wonderful time here. Totally recommend it!!!",100
20869092,2018-11-23,"We stayed in a serviced apartment in a building called Bangkok Tryp. Upon arrival from the Sky Train (9 min walk from the station) we checked in at a different building to get our key. The person at the desk walked us over to our room  (just a couple minutes away walking) and made sure we had everything we needed. There was cold bottled water in the fridge and they provided print outs of the address in Thai for taxi drivers in case we needed it. The building was quiet, clean, and very modern in its decor. The amenities seemed awesome - massage downstairs, a pool and fitness center - but we did not have time to take advantage of them on this visit. The neighborhood was really interesting and I would have liked more time to explore. Would definitely stay there again!",101
20869092,2018-11-23,Great location and hospitality! Nothing bad to say about this place:),102
20869092,2018-11-23,"great host, we really enjoyed our stay there. the appartment is really clean and silent during the night. the pool is amazing! 15 min. to khao sun road, perfect! the whole team are very kind and help you wherever they can! i would recommend this place to everyone! thx a lot and kind regards",103
20869092,2018-11-25,.,104
20869092,2018-11-25,This place in Sanam Pao was a hidden gem. The staff were really friendly and provided some great local tips such as when to get the train or when to get a taxi. Thank you,105
20869092,2018-11-26,Excellent staff and communication! Absolutely loved our time here. HIGHLY recommend staying here!,106
20869092,2018-11-27,"Don't order from the menu provided in the room....we ordered 5 different things but all of it wasn't good at all. Much better to go and look for food in the surrounding area. The pool was amazing though and the place was clean and had a good view. if you are looking for activities to do in Bangkok, better to do research on your own....the staff at the reception desk helped us a bit but they gave us overpriced quotes that were not worth it",107
20869092,2018-11-28,Fast response and very good  hospitality. The room is just same as Airbnb. Highly recommend!,108
20869092,2018-11-28,I would highly recommend this condo!  Easy check in and felt safe during our stay.  The entry is gated with a security guard in front at all times throughout the morning and night.  The space was very spacious much more spacious then I expected.  Highly recommend!,109
20869092,2018-11-28,Great place!,110
20869092,2018-11-29,"It was great, no complaints at all, very good communication and luxurious apartment!",111
20869092,2018-11-30,"Except a little confusing street address, every thing else is fine. Swimming pool on the fifth floor, and the staff is great and helpful.",112
20869092,2018-12-01,"Staying at Suchadas is like finding a hidden gem on the busy streets of Bangkok! Not only is the air bnb clean, modern, stylish and filled with every amenity, but the front desk staff are so friendly and helpful! We loved the ability to do laundry, having access to the pool, and the nice touches such as free water, coffee and noodles. The staff answered any questions we had and they even have a free tuk tuk to take you to the train station. This air bnb is close to the train station which was our quickest way to get around. We loved staying here and highly recommend it!",113
20869092,2018-12-02,It was a great modern apartment. Had a washer in the apartment but we did not use it. Everything was very clean. Away from the noise of Bangkok but close enough to grab a taxi. Would definitely recommend. They even checked us in early :)) thank you!!,114
20869092,2018-12-02,The location is a bit far from the downtown area of bang kok but was close to the train station so you can use public transportation. There is a tuk tuk service provided at the Bangkok patio lobby area that brings you to the main road because this building is a bit discrete. The host is amazing! They responded quickly and is very accommodating. Would definitely recommend!!,115
20869092,2018-12-04,Had a wonderful stay at an amazing property with a great hospitality .. will definitely would like to stay again... Hats off to great Suchada team.. well done n keep it up!!,116
20869092,2018-12-05,This place is great! Check in was easy and the apartment was clean and the location was perfect. Would 10/10 stay here again.,117
20869092,2018-12-06,"Very nice place ! Clean, good staff nice swimming pool,  all was very good. At reception you can get information and services.",118
20869092,2018-12-07,clean and spacieuse appartement. little bet far from metro.,119
20869092,2018-12-07,gg,120
20869092,2018-12-08,Convenient tuktuk. Easy check-in. And the best is you could restore your luggage after checking out.,121
20869092,2018-12-09,"A great choice of places to stay. Everything went smoothly. Such a comfortable stay. Ordered Thai food from apartment. Was really cheap and tasty, easy to find and we loved the pool!",122
20869092,2018-12-09,Suchada's place was a very nice spot to call home during our short trip to Bangkok.  The staff at the building were very friendly and helpful with checking in and checking out.  The building pool on the 5th floor was also a particularly nice amenity.  We couldn't have asked for a better location (seemed fairly central and easy to get everywhere).  The apartment's proximity to the sky rail also made transportation a lot more convenient.,123
20869092,2018-12-10,"Suchadas place was amazing, great communication, easy check in with lots of information, the place was spacious and spotless and within easy reach of the BTS.",124
20869092,2018-12-10,"Place was clean and easy to find. The employees were kind, helpful, and arranged a taxi for us in the morning.  It was a nice place for our one-night stay!",125
20869092,2018-12-11,Everything was great,126
20869092,2018-12-12,"Suchada's place is super clean, just as in the photos! Excellent location with only a short 5 min walk to the BTS station. Loved the 24 hour check in option, as our flight landed in the very early morning hours. Suchada was easy to communicate with. Would certainly stay here again and would definitely recommend to other travelers!!",127
20869092,2018-12-13,"Suchada place is the best place for me and my husband stay during our trip on Bangkok, you can walk to near bts/market or go with tuktuk for free. Thanks for a great hospitality, Suchada! We will be comeback for sure :)",128
20869092,2018-12-13,This place is amazing! Clean and spacious. Check in was quick and easy. Thank you for hosting (:,129
20869092,2018-12-16,A great place to stay for the value! Location is 5mins walk (or free tuk tuk service) from Sanam pao bts station. Also 30mins by train from Suvarnabumi airport. Away from the main road so its not noisy. Super clean and well designed apartment ideal for two persons. You can order in meals or pack food from 7/11 convenience shop nearby. (Side note - The packet cooked Thai phad noodles from 7/11 is fantastic at only 30-40 baht) Fast responses from host. Check in and out process is quick - message Suchada when you have arrived at exit 3 of Sanam Pao station and she will send a tuk tuk to pick u up. Will stay again when i am back in BKK. Thanks Suchada!,130
20869092,2018-12-17,"They are such lovely hosts. The room is super clean, modern and comfy.<br/>Would have loved to stay here longer.!",131
20869092,2018-12-18,amazing place! definitely recommend it!,132
20869092,2018-12-19,Everything was perfect!! The pool and gym were amazing. The staff was very friendly and helpful. This is the best affordable place in Bangkok!,133
20869092,2018-12-20,Clean and modern - fantastic place to live in! Expect a slight walk between the apartment and the BTS station but a tuktuk is available to ferry you to and fro!,134
20869092,2018-12-21,Awesome place to stay at,135
20869092,2018-12-26,Great location to stay in Bangkok. Located next to BTS which is really convenient. Would definitely recommend to all travelers,136
20869092,2018-12-27,A great apartment. Highly recommend!,137
20869092,2018-12-28,Very comfy and clean place. Great for both short and long stay. A few minutes walking to streets with food and 7min walking to bts. <br/>The gym is a lil too small but its all good.,138
20869092,2018-12-29,nice room! scene outside the windows are beautiful.,139
20869092,2018-12-30,Everything is as shown in the description. I would suggest this apartment is more apt for business travellers. If you are a tourist i would suggest to stay more towards Siam.,140
20869092,2019-01-01,Excellent place!,141
20869092,2019-01-01,The place was clean and spacious. Staff was very helpful and we would definitely recommend to any future guests.,142
20869092,2019-01-01,Great place! Close to many things. Bed was comfortable and I had a great stay. Pictures are accurate. I would definitely stay again!,143
20869092,2019-01-03,"Very good apartment in good building near BTS. Very clean, nice small gym on the floor and swimming pool. Highly recommend for everyone in Bangkok!",144
20869092,2019-01-04,"Suchada's place was a at good location that allowed us to visit multiple local places in the city. Also, suchada's team did an amazing job always communicating and helping us with all our needs.",145
20869092,2019-01-04,We absolutely loved it! The staff was super helpful at the front desk! Everything is near by the location. The host replies very quickly to the messages which we greatly appreciated! We would definitely book again!,146
20869092,2019-01-05,"When I go back to Thailand, I will be looking for this place to stay. The room was clean, elegant, and accommodating with a small kitchen and a washing machine. I loved everything about it and I have already suggested this place to people who intend on traveling to Thailand.",147
20869092,2019-01-05,"Suchadas place was amazing, very clean and modern, with the added bonus of a rooftop pool. Had no problems finding the place as it is very close to the Sanam Pao BTS station which is northbound (towards Mo Chit) on the Green line. The ladies at checkin at the Bloom serviced apartments were very efficient and helpful, and took me around the corner about 2 minutes walk to the Trypp building where the apartment was. <br/>The bed was amazingly comfy, the shower was great and there were black out blinds also so a great night sleep is guaranteed!! <br/>The only downside was that the pool was a little on the chilly side, and those expecting a fully equipped gym will be a little disappointed, there being just a couple of rowing machines there. However, on the whole the apartment far surpassed my expectations. Many thanks for a great stay.",148
20869092,2019-01-07,"The place is good but not wonderful. Check-in and check-out were fast, the receptionist gave us the card and showed the apartment. The place is near to elevator so you can hear the irritating bleep-bleep sounds all the time.",149
20869092,2019-01-08,"Strongly Recommend!Only 3-5 minutes walk to BTS , btw offered free tuk-tuk.Equipped with swimming pool.The room is quite clean and large.Access to airport is very convenient.",150
20869092,2019-01-08,"Great place to stay! Hot shower, good location, very friendly staff, tuktuk taxi service for free to the local market. Comfortable bed and pillows! Lots of sunlight and also blackout curtains. Thank you Suchada!",151
20869092,2019-01-08,"Love Suchada's place! Everything is just like the pics shown. All my queries are promptly responded to. The place is approx 5 mins walk to Sanam pao bts. There is a small 7-11 beside the bts. If u can't walk up the stairs, would recommend to walk abit further down to take the escalator up the bts. There is market and small stalls selling fruits, noodles & thai food near the apartment. Just 10 mins walk. Else u can request for complimentary tuktuk service to fetch u there. There are two 7-11 which are bigger than the one beside bts & a Tops market. Do look for a small stall selling mixed pork soup (gao lao leuad moo). Aroi mak! There are complimentary bottled waters & instant noodles in the apartment which we really appreciate. Didn't hv the chance to try the massage downstairs which opens frm 10am to 9pm. There is a small swimming pool & gym at level 5 if you wanna burn off some calories during yr trip. All in all everything is great at Suchada's place. The only thing small prob is the basin in the toilet. The water will splash out if u turn on the tap too much.",152
20869092,2019-01-08,"The apartment is very nice, comfortable and clean and real close to the skytrain. We had an amazing (Email hidden by Airbnb) munication was smooth. Will definitely come again!",153
20869092,2019-01-10,"Clean, friendly and polite. Good value for money",154
20869092,2019-01-10,"The room is exactly like the pictures, very clean and welcoming.<br/>Even without internet and any maps, we have been able to go from the bts station to the place : the description was very nice!<br/>The services were nice too.",155
20869092,2019-01-11,"Suchada was very responsive and helpful! Our flight was delayed and we ended up arriving very late, was nice enough to extend our check out time so we could sleep a little. Definitely would stay here again!",156
20869092,2019-01-11,"Bad experience, the manager here is horrible",157
20869092,2019-01-12,"A very god place to live in, Nice personal, clean",158
